query,label
  cheguei à conclusão de que eu sou feia e gorda,0
JOANA MARANHÃO MARANHÃO MARANHÃO SÓ PERDE NA PISCINA MELHOR FAZER TEXTÃO  ,0
"  tentando intender a idiota do face q  compartilhou a ideia dessa trouxa aff como q da mulher burra na vida,nem deve sabe _",1
não se esqueça que se vc votou na dilma votou no temer tb  agora n reclama,1
a maioria das pessoas só estão vivas porque é ilegal atirar nelas,0
ai socorro jesus deixa essa mulher no programa por favor só pra gente ouvir ela botar conceitos físicos na cozinha #MasterChefBR,0
"#Encontro a feminista se droga, bebê até cair e sai com um cara q conheceu há 2 min, usuário de droga, e depois quer reclamar de assedio...",1
Grupo de Zumbis tentam escrachar o  na Universidade Presbiteriana Mackenzie. https://t.co/bmHYemAx8u,0
 que é moita? #nuncafui hehehe,0
"  Duas evidências! Consequência: volta para tua casa, faz boa viagem! #ImigraçãoInvasora #Islão  https:// _",0
  Os 'cumpanhero' quebraram todas as regras.,0
"  2) é a prova cabal da ligação íntima entre o PT e a guerrilha colombiana, que tantos negavam e chamavam de 'teoria da cons _",0
Esse aqui com certeza sofreu bastante com os senhores de engenho. Vergonha desse movimento. Lixo demais. https://t.co/3rKdx5354d,0
  Sapatão do inferno jakakaka,1
#HQEH acorda cedo pra assistir os jogos da Copa. #worldcup,0
Devemos manter o 'mal' fora do nosso país!,0
  E assistir a qualquer momento aqui: https://t.co/YL6a1jp6sh https://t.co/K6ggeMUtNN,0
É por isso que esse país está da forma que está ...e isso pq a USP é uma das melhores universidades . Tem gente que _ https://t.co/06EPcW7wqB,0
 os desenhos com casais hetero são os certos para incluir casais homo.  Não estou a dizer para o Bob constructor ser gay,0
"Gremistas gostosas, comemorem o rebaixamento do Inter mandando foto pelada na DM. No aguardo.",0
tem que privatizar a porra toda mesmo tmj temer,0
"Doei $100 pra ajudar os refugiados da Síria Normalmente não falo sobre isso, mas a brincadeirinha good vibes do Google de hoje fez perceber+",0
"farta de procurar trabalho, ainda me meto mas é a trabalhar num bar de fufas, mais vale",1
"  Vamos lá a ver se entendi... O PAN é a contra a eutanásia nos animais, mas a favor da legalização da eutanásia nos seres _",0
chega na mina e fala: nosso relacionamento é tipo o socialismo nunca vai dar certo,0
"Interessante: Por que a promiscuidade masculina ‘_natural’_ é um mito, segundo esta bióloga https://t.co/jafH0CKYXK",0
Como vocês sabem se apenas 5% dos homicídios são elucidados?? #InternationalWomensDay #SerMulherÉ #DiaDaMulher https://t.co/qILoqHzoBW,0
Aula de biologia em universidade Federal.. '...e hoje vamos aprender como é gerado um feto dentro da próstata do homem...',0
Como posso ajudar o PNR?  https://t.co/RLyn5JuE0L#Ajuda #Apoio #PNR #RenovarPortugal,0
"...negociações ou design. Quando eu me envolver, como no F-35 FighterJet ou no programa do Air Force One, o preço V _ https://t.co/MOpoCGWiyh",0
 Fala que era da era Obama!!!!!  Jornalismo canalha!!!!!,1
Já sou fã dessa mulher que cozinha na telha #MasterchefBR,0
Filhos de pai incógnito quase duplicaram em 2016! Eu já andava desconfiado que há por aqui cada vez mais filhos da put,1
Vai chover!  A Foice divulgou manifestação pró-Trump! #March4Trump https://t.co/L4gnwyHMSq,0
  Ideologia de gênero não forma mem informa. Ideologia de gênero DEFORMA mentes infantis.,1
   islão significa submissão,0
A internet é nossa! As Feministas/e cia infiltradas nos órgãos da Justiça buscam combater essa crescente por meio da censura via justiça.,1
Convidado da Manhã na Renascença Portugal distingue-se “porque não tem nem vai ter campos de refugiados https://t.co/mLSZcQCS5U,0
  STF DESMORALIZADO Não percebe que queremos mudanças e não queremos candidatos de esquerda e fabianos em 2018  #SOSFAA  _,0
 quanto mimimi de cota pelo amor brancos melhorem,1
Gostar de mulher sem ter vergonha #twittealgomuitoantigo,0
 ela podia pelo menos se preparar vestida de burca ninguém é obrigado a ficar olhando esse corpinho aí não. Eu heim!,1
se o comunismo fosse bom a venezuela nao estaria do jeito que tá,0
Seria um prazer matar muçulmano.,1
 ngm perguntou sua opiniao de branca sobre racismo e vc deu então acho q estamos na mesma,1
  Orgulho Hetero  Homofobia. Abs,1
Bom dia só pras sapatão,1
a própria culpada pela exposição é a filha da Maria do Rosário que postava fotos com drogas e nudes em seu próprio instagram,1
quem foi adobe hitler??? kkkkkkkkk http://t.co/ZdbS9wq5Ir,0
"porra!! é difícil refutar o que falei com fatos, lógica e verdades? https://t.co/xceKmqNOCr",0
Parabéns a Rex Tillerson por tomar posse como nosso novo Secretário de Estado. Ele será uma estrela!,0
 Angela Merkel é de direita e não tem pessoa no mundo q ajude mais refugiados de guerra do ela.,0
Eu não sei dizer o quanto eu queria trabalhar como voluntária p refugiados e afins,0
"O maior prazer de uma mulher inteligente, é fazer-se de burra perante um burro que se faz de inteligente",1
"  Franceses vão às ruas em apoio Marine Le Pen, após um golpe q poderia retirá-la da disputa presid. A esquerda agoniza no mund _",0
"'Trabalho de 3ª a 5ª.'  'Não devo satisfação a ninguém.' Parabéns pela postura, sr Dep Federal. És a cara do pai! https://t.co/WoTj8yVfT2",0
   eu choro de rir,0
"Amor próprio e liberdade foram o mote da campanha da Insecta Shoes para o Dia Internacional da Mulher, que contou... https://t.co/y4QAGkWTni",0
CHEGOU SEXTA FEIRA: ÁLCOOL PROSTITUTAS XIS BÊICON ARMAS DE FOGO MARCHINHAS OFENSIVAS (VÁLIDO APÓS O HORÁRIO COMERCIAL) BOM DIA #usecamisinha,1
  Trump de Carvalho. Encontrei isto na net. Não sei quem foi o génio. https://t.co/KgmGgaCTBd,0
AO90: crime e traição à nossa identidade. O #PNR sempre foi contra. Há que desobedecer a tal estupidez!  https://t.co/7wsyJFC1FL,1
"  Cada um com a sua educação.. e na minha, eu não permitir muita coisa! https://t.co/znuwdX7Amj",0
 Está apontado. Obrigado,0
