query,label,classification
"  A gente xinga a grande mídia o tempo todo, e vai continuar xingando, menos hoje.  https://t.co/KVr1F482Yk",0,1
g1: União Europeia ameaça com sanções países que não recebem refugiados https://t.co/oa24HUMR0g #G1 https://t.co/3p1zmAzoCV,0,0
  é engraçado e retrata um pouco do lado 'marginal' de recife-olinda... esse é o twitter ,0,0
o lula nunca acertou a nota azul do guitar hero,1,0
"deve ser foda namorar uma evangélica, vc manda um sms todo fofo dizendo 'Advinha quem te ama?' e ela responde 'Jesus Cristo'",1,0
Não é o próprio governo ao estar sempre  a falar disto que causa mais ruído?? https://t.co/LR5O6Az65T,0,0
"POIS É, ATÉ UM CONTINENTE JÁ APARECEU E O PAI DAS FEMINISTAS NÃO  #JoaquinResponde https://t.co/46OhFkUegV",0,0
  Povo comendo lixo - esta é a prosperidade comunista bolivariana. Luladrão e sua ORCRIM tem que apodrecer na cadeia. htt _,1,1
"A mídia está fazendo com esse prefeito, o que fez comigo. Eles forçam uma tá homofobia, rotulam, ridicularizam,... https://t.co/oxI4tx9PqL",1,1
"Ei  , que tal contratar a  pro time de vocês? O que é ruim sempre pode virar uma grande merda! https://t.co/ucsKl3Z4YN",0,0
"  '21 anos sem Mamonas Assassinas' SE ELES FOSSEM VIVOS VOCÊ ESTARIA FAZENDO TEXTÃO ACUSANDO OS CARA DE MACHISMO, HOMOFOB _",0,0
hoje em dia até dizer que tem orgulho de ser branco é racismo aff vcs,1,0
  sapatão ô raça,1,1
" essa é a questão! O Bahia vai bancar Levir Culpi? Marcelo de Oliveira? Osvaldo? Ou querem Joel Cruz, Arruzinho, sapatão e etc.?",1,1
"  PUTA QUE PARIU, ALGUÊM ENTENDEU ALGUMA COISA? https://t.co/5VIe6Lcexx",0,0
É já amanhã que estreamos o 'Overdose de Tourete' no Casino da Figueira. Só arrancamos depois do FCP-SCP. Bilhetes _ https://t.co/lXFcaKEFV2,0,0
 falando que não aceitou ser secretário da prefeitura do  'Não aceito fazer política dessa _ https://t.co/WMXiVvrjyq,0,0
" Teve 'urnas eletrônicas venezuelanas', 'médicos cubanos e refugiados haitianos votaram em dila' e ele não fez questão de desmentir",0,0
"Se tem carne negra na esfha do Habibs, vou evitar a de calabresa",1,0
  Deus criou adao e eva e nao adao e ivo,0,1
 Tenta a Olga Cardoso,0,0
"A mulher eh mega inteligente, tem doutorado ate na casa do caraí e cozinha bem, porra #MasterChefBR",1,1
Pelo menos ia proteger o ocidente do islam.,0,1
eu não defendo bandido por isso que sou a favor do impeachment pro temer entrar com o cunha como vice,0,1
