query,label
25 de julho: Dia Internacional da Mulher Negra Latino Americana e Caribenha... Então hoje é o dia só da mulher branca? #DiadaMulher,1
As teta da loirinha tá demais #altashoras https://t.co/LlS954cBjO,1
 mas não quer dizer que quando não sabias o que eram equações trigonométricas te estavam a esconder,0
"não há nada de engraçado, só gente mentirosa sendo desmascarada e fugindo sem refutar nenhum argumento! https://t.co/OZ9kfCML1a",0
"Impedir os imigrantes ilegais é meramente cumprir uma promessa da minha campanha. Membros de gangues, traficantes e _ https://t.co/N6dylY90tZ",0
isso é ser FEMINISTA...e não mulher  https://t.co/Zk4QZYiwOe,1
"Ha ha! Aí ela consegue argumentar: falou em 'desmontar' mesmo sendo em figura de linguagem, ela já apela pro  'ain, _ https://t.co/6MPyOpKj22",0
"É SÓ MANDAR UMA SONDA PRA ESSES 3 PLANETAS: SE NÃO ACHAR PSOL, FUNK, MACONHERO E IUTUBER  TEM VIDA INTELIGENTE SIM https://t.co/UarqovoMKE",1
  eu acho o msm sobre vc branquelo,1
"  Abram os olhos com esta equação: #UE + (  ,  , #PCP, #BE) = escravidão/austeridade. Até quan _",1
"Filha zé droga, ex-marido traficante, cunhado pedófilo. Essa são as pessoas que rodeiam  deputada q _ https://t.co/pkysqKQDje",1
 heueheueheu eu fiquei achando que o branco era arroz tb mas não faço ideia (e olha que gosto de açaí),0
"Acho muito legal as feministas que compartilham coisa do quebrando o tabu e chamam as outras de gorda, feia e briga por macho, parabéns p vc",1
Acabei de ouvir uma cigana dizer q 'os chineses são um povo sujo e sem higiene q vive e dorme em qualquer lado'. O cliché morreu hj às 16h09,1
A PL 2516/15 propõe imigração em massa de refugiados islâmicos para o Brasil. NÃO QUEREMOS A SHARIA NO BRASIL _ https://t.co/OSjmz1eCkb,1
"II RAPAZ, SAI FORA VOCÊ É HOMEM ",0
Coisas que odeio esquerdista de iphone hipocrisia falso moralismo https://t.co/L6lEY0mk8f,1
pleno dia internacional da mulher e eu ouvi um pai dizendo pro filho que a mãe dele é uma burra,1
Dizer uma frase idiota de efeito e não refutar nada só prova o quanto voce é alienada! https://t.co/Pq5xwJyFEU,0
 se vcs jogarem o user dela e a palavra 'negro' vão ver que só fala bosta,1
"Quando o  viu o #ipad gritou: Steve!!! Mesa 7, 2 cervejas, 4 copos americanos, uma porção de fritas e outrade calabresa!",0
"  Love on Top mas de fufas, estou lá",1
"  ñ são,e isso é injusto.se eu tiver filho gay, trans,etc,eu não expulsaria. + eu fui expulsa de casa e sou hétero",0
" não. A lei da imigração abre as fronteiras do Brasil para refugiados, e libera a ONU para emitir vistos, tirando autonomia da PF.",0
"Geração palavras machucam Já me cansei disso Ñ posso falar nada q o cara ofendido para d falar comigo VÊ SE VIRA HOMEM RAPA,DEIXA D FRESCURA",1
 o Santana é que os topa!,0
"  o q Levy quis dizer é: se um homem ejacular no cu não acontece nada,se ejacular no canal vaginal é capaz d reproduzir",1
Gostei de um vídeo do  https://t.co/9PB6IXBZum Era uma vez o homem - 8: As conquistas do islão,0
'o feminismo é importante demais para ficar nas mãos das feministas' - saiu na  em pleno 8 de março,0
Lamentável que toda minha equipe ainda não tenha sido aprovada. O maior atraso da história do nosso país. Obstrução _ https://t.co/WUcwRgPKwe,1
  Agora terei que buscar uma foto minha de criança jogando vídeo game para provar que papai não é vídeo gamefóbico. Pqp...,0
Essa é a imprensa que a esquerda chama de 'direita golpista'... #DiaDaMulher https://t.co/kKsVlZN1Jz,0
  O mito https://t.co/48QQWR3OyS,0
Como ser feminista: Ser feia e gorda Pagar peitinho em passeata Ser peluda Odiar homens E achar q isso fará diferença no mundo.,1
Parece que o Papa vai estar menos tempo em Portugal do que o Porto esteve em primeiro lugar...,1
tá pra nascer mulher burra como eu to sem celular pq esqueci o cabo do computador no estágio,1
Resumindo: descreveu o  https://t.co/rZsyDXLZ8S,0
Regular os mercados energéticos e financeiros https://t.co/KDyksvyzrR#PNR #RenovarPortugal #Portugal,0
Batom vermelho só é bonito em gente branca,1
"  Mas, hey, toma aqui uma flor! Sorria. E engula a dor. - Via Pietra Pinheiro #InternationalWomensDay https://t.co/q0xkKEDOWB",0
"segundo esse 'jênio' doutrinado por professor militante ateísta esquerdista, o Cristianismo é a religião que mais o _ https://t.co/AnTkEpVvuz",1
Não importa se e feia ou bonita gorda ou magra toda mina deve ser respeitada..,0
  Na hora da aula 'entendi tudo' // na hora da prova 'deu branco' https://t.co/c9ME1CeTwG,0
Essa procuradora é uma piada.Levou uma lambada do Dr. Miguel Nagib autor do projeto #EscolaSemPartido.em... https://t.co/UnR0zDaYfI,1
" a criança não sabe ainda está a tentar controlar seu corpo aonde fazer coco, habituar-se aos alimentos, fazer amigos, brincar",0
eu sofro preconceito por ser da igreja evangélica mas ngm liga ne aí jogam pedra no macumbero e é 'ooooh mds que triste',1
"A mulher é muito nerd. Vai fazer experimentos esquisitos na cozinha, se passar  #MasterChefBR",1
Que mundinho pequeno esse de Sapatao ne  a gente descola cada fita da namoradinha dos outro,1
"a mulher no BBB soltou um 'mexicano que é mexicano nem caixa d'água tem', que programa de gente burra da porra",1
"Há exatos 85 anos as mulheres começavam a ter o direito ao voto, garantido de maneira plena, sem distinção entre... https://t.co/dwLHQgENI8",0
  meudeus que FARDO deve ser ter nascido hétero e branco aff que tragédia grega isso,1
"É só não roubar, não estuprar, não cometer latrocínio que não vai pra lá. É simples. Que se matem mesmo, sem dó nem _ https://t.co/52tP3GGnOx",1
Sugestões para um 2010 melhor: Colocar Chuck Norris como protagonista da série de TV 24hs!,0
"triste, essa cerveja é boa pacaraio https://t.co/9u4hsOeChl",0
sorte eterna: vc não chama ariadna,0
"e tem nordestino e manaura achando ruim das piadinhas regionais... vcs sempre serão zuados, eu msm me certificarei disso. acostumem-se",1
  ora ora temos uma idiota aqui,1
ent fufas e pretos quem mais adormeceu?,1
As pedras clamarão.... https://t.co/xqZj1Kd7Cw,0
Muito bem! Se concordo com as iniciativas (mesmo dos adversários!) não tenho problema em congratular-me.  https://t.co/U5SMprcmzl,0
"O #PNR solidariza-se com a dor da família enlutada, pela morte de mais um Agente ao serviço da nossa Nação.  #GNR _ https://t.co/L4woxi9etD",0
falou tudo !!! FEMINISMO é capacho da esquerda e PONTO FINAL  https://t.co/k7qtCbEOLx,0
" Aprecio o bom humor mas, calma, não abuses da boa vontade. ;)",0
Estas poeiras vindas do norte de África entram impunemente em Portugal e sujam os carros todos. Para quando a construção de um muro?,1
  quando junta mt sapatao num grupo só n da né,1
A mulher já vai ter uma vantagem na cozinha só por conhecer as coisas da física #MasterChefBR,1
"A NASA ACHOU MAIS 7 PLANETAS  E VOCÊ AI, QUE NÃO CONSEGUE ACHAR UM SÓ EMPREGO",1
"sabia que esse cara era um tremendo de um pau no cu, dá pra ver pelos vídeos no youtube https://t.co/QjREu4L723",1
A TIM COMPROU O GOOGLE,0
"Meu Deus, não pode ser sério isso!! Numa cidade em que pessoas morrem na fila do hospital! Absurdo!! https://t.co/IxbdTDYDVg",0
As últimas 30 fotos da minha galeria devem ser prints disto paras as #Fufas juro AHAHAH,1
vazou um diálogo do Jucá falando sobre trocar a presidente pra deter a lava jato mas relaxem galera não é golpe!!!!,0
mulheres por favor PAREM de raspar a cabeça dos lados fica parecendo que vcs tem câncer pela metade,1
 configurações > desativar minha conta,0
tô considerando a ideia de usar burca pra não ter de interagir com as pessoas,1
"Deveriam decaptar! Já qdo  chama a militância sapatão de grelo duro, deveria ser beatificado. https://t.co/EJsaATZwus",1
idiota é pensar q no dia d mulher eu aquela mulher cujo vc a chamou atráves de MSN feia gorda urubu fígado cheia de celulite acreditar em vc,1
"Galera, tenho umas fotos pra mostrar de terça, quando a sra  deu entrevista pra uma revista com vestido micro.. querem?",0
 menina se não fosse o movimento feminista nem existiria o dia da mulher deixa de ser burra,1
#AgendaMaio  Palestra sobre identidade de gênero.(Ideologia de Gênero) #SãoLuizMaranhão https://t.co/6dWIFPYWkN,0
Esta senhora está completamente obcecada pelo Trump. Haverá alguma explicação freudiana?   #ForçaTrump https://t.co/5SFjTYzgDx,0
" pooo, esse aí é otimista hein",0
  mostrar as tetas não vai acabar com o machismo,1
  - Alô Trump ta afim de irritar a esquerda? - To mas como? - É só nós tirar uma foto juntos  - Blz cola aqui na casa bran _,1
"Filme de País Iraniano que apedreja gays e degola cristãos,ganha Oscar de filme estrangeiro e diretor crítica _ https://t.co/sV1q8Ks7F6",1
Sete pessoas baleadas e mortas ontem em Chicago. O que está acontecendo lá? Totalmente fora de controle. Chicago pr _ https://t.co/A8LYAJAatr,0
"  Esse mundo sapatão é uma viagem, todo mundo pega todo mundo credo YCYFUGUG",1
"Não, pq p/ mim ñ faz sentido ter filhos p/ ficarem num mundo tão injusto e violento, com a esquerda crescendo cada _ https://t.co/bk9PjsSAUK",0
"Bolsomito Kiridinha: 'Eu mesmo não acredito que isso ainda ocorra', disse o deputado sobre a desigualdade salarial entre homens e mulheres.",0
pensava q essa cena de n se sentirem minimamente atraídas por raparigas mas no entanto quererem entrar no mundo das fufas já n era moda,1
   feliz dia das mães só pras mães de familia tradicional,1
"gnt, eu n sou sapatao , esse viado q me chama assim kkk",0
"   pega no meu pau seu arrombado, ta defendendo o cara pq, é advogado desse maconheiro agora?",1
"A esquerda é assim, lamenta a morte de bandidos mas diz 'matou pouco' pra genocidas. Depois do 'Stalin matou foi po _ https://t.co/g2rItoeyTF",1
" aff, bando de maconheiros... eles não tem o q fazer...",1
Ter cabelo curto é uma desgraça se sempre tá feia e gorda,1
" isso é doideira. Os sírios-libaneses quando vieram pra cá não receberam 1% das benesses desses refugiados, mas agradeciam",1
  Não concordo e nada contra a homossexualidade.. https://t.co/QFtgTER9DM,1
As fufas do benfas ganhavam sp kkk https://t.co/N0AyyOhO9D,1
Essa sociedade machista opressora https://t.co/25ZOYePq5z,1
